{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-159, Centroid: (515.95425, 238.44765)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-167, Centroid: (509.08266, 412.0913)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-173, Centroid: (512.29434, 514.88462)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-181 to 2-192, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-196 to 2-262, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-261 to 2-293, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-300 to 2-330, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-341 to 2-394, Centroid: (-563.2, 102.4)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-410  2-415  2-416  2-418, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-520 A, Centroid: (-469.28888, -392.09853)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-530 B, Centroid: (-368.20621, -392.09853)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-540 C, Centroid: (-276.0507, -448.29932)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-545, Centroid: (-218.72883, -411.5143)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-547, Centroid: (-187.31346, -411.5143)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-550 D, Centroid: (-244.63532, -335.89774)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-560 A, Centroid: (-17.17037, -297.01767)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-566, Centroid: (-125.82495, -485.69677)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-568, Centroid: (-94.91683, -485.69677)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-570 E, Centroid: (-13.75042, -510.00294)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-580 F, Centroid: (34.79179, -378.96034)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-585 A, Centroid: (34.79179, -303.34378)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-590 G, Centroid: (98.1637, -510.00294)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-610 H, Centroid: (165.52266, -317.50523)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-620 I, Centroid: (201.76705, -481.5102)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-624, Centroid: (281.75961, -497.03495)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-626, Centroid: (326.94157, -497.03495)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-630 J, Centroid: (470.65866, -508.61208)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-640 K, Centroid: (498.50169, -412.49103)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-650 L, Centroid: (288.19592, -317.50523)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-660 M, Centroid: (498.50169, -323.96165)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-670 N, Centroid: (246.94902, -235.37222)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-680, Centroid: (563.56428, -235.37222)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: 2-682, Centroid: (503.63485, -227.67443)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Building Outline, Centroid: (0.0125, 0.78037)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Elevator, Centroid: (-146.11684, -139.42115)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Elevator, Centroid: (-87.61019, -60.25681)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Escalators, Centroid: (-254.95159, -226.42154)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Escalators, Centroid: (255.57054, 209.07864)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: None}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (-92.51282, -8.20513)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (499.1758, -180.82839)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (-156.44239, -473.30236)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (504.68289, 16.47922)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (118.39796, -257.92157)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (497.42242, 329.43597)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (-0.0, -85.33333)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (-85.1249, -415.82051)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (332.95442, 160.32594)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hallway, Centroid: (43.29694, 38.53557)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Hole, Centroid: (-94.30276, -1.85232)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (-565.21004, -329.75078)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (569.98221, 332.58376)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (567.8787, -34.92241)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (577.94237, -145.07307)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (-129.97613, -533.66967)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (-574.18387, 323.89364)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (214.10192, 516.16988)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Stairs, Centroid: (-579.02343, -147.01333)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level 2, Room: Washroom Men, Centroid: (420.90263, -235.75222)}
