{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: GB05, Centroid: (-420.41711, 126.57962)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: GB06, Centroid: (-534.40663, 105.71062)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: GB23, Centroid: (-537.04754, 239.36387)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Hallway, Centroid: (-429.33393, -46.9659)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Hallway, Centroid: (102.06713, -190.59178)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: LB10, Centroid: (450.30503, -17.49666)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: LB12, Centroid: (442.14989, 28.8236)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: LB13, Centroid: (579.28105, 26.87456)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Education Library, Centroid: (515.01499, 136.99862)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (-415.3883, -74.2708)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (100.22462, -221.83865)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (447.59307, 281.88251)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (-69.00903, -221.83865)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (-343.93753, -147.25812)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (-375.60749, 168.70552)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (365.95278, -151.12414)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Stairs, Centroid: (557.754, -68.48543)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: AllGender Washroom, Centroid: (382.12886, -227.1136)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Men, Centroid: (-23.00755, -250.05723)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Men, Centroid: (445.25827, -64.46525)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Men, Centroid: (-359.28493, -228.6821)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Women, Centroid: (-337.27797, -228.6821)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Women, Centroid: (434.33062, -42.12436)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Women, Centroid: (482.26829, -64.46525)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: Washroom Women, Centroid: (56.31034, -250.05723)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (446.82257, -169.09603)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (141.15462, -138.181)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (16.33584, -260.34913)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (383.00742, -137.86772)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-420.41711, -8.66639)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (464.26336, -227.1136)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (-534.40663, 146.45245)}
{Building: Education Centre South, Campus: North Campus, Floor: Level -1, Room: X, Centroid: (175.43807, -126.47902)}
